Struct,Site,StrX,StrY,CN,A,B,C,alpha,beta,dG,abs
x3,S1,-2,-2,4,-1.311655942,1.214966397,-0.19749634,0.265369979,-0.413836214,-0.40554221,0.40554221
x3,S1,-1,-1,4,-1.477097541,0.935834329,-0.655591048,-0.13604879,-0.728634048,-0.109720921,0.109720921
x3,S1,0,0,4,-1.641309146,0.665640643,-1.088362218,-0.617465763,-1.080916914,-0.001231945,0.001231945
x3,S1,1,1,4,-1.8048421,0.39562549,-1.476156803,-0.926609553,-1.349817857,0.040750673,0.040750673
x3,S1,2,2,4,-1.965544321,0.133837575,-1.8378471,-1.315985121,-1.656554783,0.051331707,0.051331707
x3,S2,-2,-2,5,0.333692717,-0.473476328,1.728002968,-1.025576602,-0.650977197,0.062623058,0.062623058
x3,S2,-1,-1,5,0.149644294,-0.680714801,1.095149367,-1.412328077,-0.963250758,0.285232051,0.285232051
x3,S2,0,0,5,-0.082978016,-0.866539345,0.506829819,-1.838172853,-1.307003186,0.393699244,0.393699244
x3,S2,1,1,5,-0.212060992,-1.080873284,-0.059695843,-2.174526341,-1.580556736,0.455589798,0.455589798
x3,S2,2,2,5,-0.389484238,-1.274090293,-0.58044745,-2.551509723,-1.883663607,0.495913172,0.495913172
